BarTime,Direction,QualityScore,WouldBeEntryPrice,BlockReason
2025.05.01 01:00:00,SHORT,57,3288.70000,OK
2025.05.01 01:10:00,SHORT,67,3284.94000,BLOCKED:PositionOpen
2025.05.01 01:15:00,SHORT,53,3276.53000,BLOCKED:PositionOpen
2025.05.01 01:40:00,SHORT,67,3272.66000,BLOCKED:PositionOpen
2025.05.01 01:55:00,SHORT,52,3277.58000,BLOCKED:PositionOpen
2025.05.01 02:00:00,SHORT,63,3274.25000,BLOCKED:PositionOpen
2025.05.01 02:30:00,SHORT,47,3277.73000,BLOCKED:PositionOpen
2025.05.01 03:50:00,SHORT,65,3247.28000,BLOCKED:DailyQuota
2025.05.01 03:55:00,SHORT,45,3244.61000,BLOCKED:DailyQuota
2025.05.01 04:05:00,SHORT,72,3242.96000,BLOCKED:DailyQuota
2025.05.01 04:10:00,SHORT,57,3241.56000,BLOCKED:DailyQuota
2025.05.01 05:00:00,SHORT,72,3238.93000,BLOCKED:DailyQuota
2025.05.01 05:10:00,SHORT,72,3239.43000,BLOCKED:DailyQuota
2025.05.01 06:15:00,SHORT,43,3232.04000,BLOCKED:DailyQuota
2025.05.01 07:05:00,SHORT,45,3229.42000,BLOCKED:DailyQuota
2025.05.01 07:10:00,SHORT,57,3228.06000,BLOCKED:DailyQuota
2025.05.01 07:20:00,SHORT,72,3225.99000,BLOCKED:DailyQuota
2025.05.01 07:55:00,SHORT,54,3227.78000,BLOCKED:DailyQuota
2025.05.01 10:50:00,SHORT,64,3231.67000,BLOCKED:DailyQuota
2025.05.01 13:00:00,SHORT,48,3218.56000,BLOCKED:DailyQuota
2025.05.01 13:05:00,SHORT,35,3218.14000,BLOCKED:DailyQuota
2025.05.01 13:50:00,SHORT,77,3222.87000,BLOCKED:DailyQuota
2025.05.01 14:00:00,SHORT,46,3222.86000,BLOCKED:DailyQuota
2025.05.01 18:20:00,SHORT,70,3215.43000,BLOCKED:DailyQuota
2025.05.01 19:25:00,SHORT,69,3211.34000,BLOCKED:DailyQuota
2025.05.01 19:30:00,SHORT,77,3209.66000,BLOCKED:DailyQuota
2025.05.02 16:35:00,SHORT,55,3251.28000,OK
2025.05.02 16:45:00,SHORT,63,3252.97000,BLOCKED:PositionOpen
2025.05.02 19:35:00,SHORT,54,3231.67000,BLOCKED:PositionOpen
2025.05.02 19:55:00,SHORT,77,3226.31000,BLOCKED:PositionOpen
2025.05.02 20:00:00,SHORT,77,3225.03000,BLOCKED:DailyQuota
2025.05.05 07:30:00,SHORT,75,3255.58000,OK
2025.05.05 07:35:00,SHORT,45,3254.78000,BLOCKED:PositionOpen
2025.05.05 07:50:00,SHORT,81,3254.88000,BLOCKED:PositionOpen
2025.05.05 12:15:00,LONG,71,3289.83000,BLOCKED:DailyQuota
2025.05.05 12:20:00,LONG,49,3293.46000,BLOCKED:DailyQuota
2025.05.05 12:55:00,LONG,77,3303.91000,BLOCKED:DailyQuota
2025.05.05 13:00:00,LONG,77,3308.69000,BLOCKED:DailyQuota
2025.05.05 13:05:00,LONG,61,3315.44000,BLOCKED:DailyQuota
2025.05.05 13:15:00,LONG,40,3310.80000,BLOCKED:DailyQuota
2025.05.05 13:20:00,LONG,77,3315.61000,BLOCKED:DailyQuota
2025.05.05 13:25:00,LONG,74,3316.41000,BLOCKED:DailyQuota
2025.05.05 13:45:00,LONG,50,3314.05000,BLOCKED:DailyQuota
2025.05.05 13:55:00,LONG,74,3314.37000,BLOCKED:DailyQuota
2025.05.05 14:05:00,LONG,69,3313.62000,BLOCKED:DailyQuota
2025.05.05 14:10:00,LONG,49,3317.35000,BLOCKED:DailyQuota
2025.05.05 20:45:00,LONG,58,3314.51000,BLOCKED:DailyQuota
2025.05.05 21:10:00,LONG,66,3317.87000,BLOCKED:DailyQuota
2025.05.05 21:40:00,LONG,51,3319.84000,BLOCKED:DailyQuota
2025.05.05 22:00:00,LONG,46,3323.36000,BLOCKED:DailyQuota
2025.05.05 22:15:00,LONG,27,3326.26000,BLOCKED:DailyQuota
2025.05.05 22:20:00,LONG,45,3327.99000,BLOCKED:DailyQuota
2025.05.05 22:25:00,LONG,59,3330.39000,BLOCKED:DailyQuota
2025.05.05 22:30:00,LONG,44,3336.55000,BLOCKED:DailyQuota
2025.05.05 22:40:00,LONG,50,3336.70000,BLOCKED:DailyQuota
2025.05.05 23:20:00,LONG,43,3330.87000,BLOCKED:DailyQuota
2025.05.05 23:30:00,LONG,41,3331.36000,BLOCKED:DailyQuota
2025.05.05 23:35:00,LONG,71,3333.23000,BLOCKED:DailyQuota
2025.05.06 03:10:00,LONG,47,3334.07000,OK
2025.05.06 10:25:00,LONG,77,3374.55000,BLOCKED:DailyQuota
2025.05.06 10:30:00,LONG,29,3374.52000,BLOCKED:DailyQuota
2025.05.06 10:35:00,LONG,53,3378.27000,BLOCKED:DailyQuota
2025.05.06 10:50:00,LONG,77,3374.55000,BLOCKED:DailyQuota
2025.05.06 11:05:00,LONG,61,3372.88000,BLOCKED:DailyQuota
2025.05.06 11:10:00,LONG,30,3373.12000,BLOCKED:DailyQuota
2025.05.06 11:15:00,LONG,61,3378.05000,BLOCKED:DailyQuota
2025.05.06 14:00:00,LONG,63,3383.65000,BLOCKED:DailyQuota
2025.05.06 14:20:00,LONG,34,3381.79000,BLOCKED:DailyQuota
2025.05.06 17:10:00,LONG,77,3397.38000,BLOCKED:DailyQuota
2025.05.06 19:20:00,LONG,49,3397.08000,BLOCKED:DailyQuota
2025.05.06 19:30:00,LONG,77,3404.36000,BLOCKED:DailyQuota
2025.05.06 19:35:00,LONG,67,3405.09000,BLOCKED:DailyQuota
2025.05.06 19:45:00,LONG,77,3408.02000,BLOCKED:DailyQuota
2025.05.06 19:50:00,LONG,54,3409.12000,BLOCKED:DailyQuota
2025.05.06 20:40:00,LONG,57,3415.97000,BLOCKED:DailyQuota
2025.05.06 21:00:00,LONG,72,3414.22000,BLOCKED:DailyQuota
2025.05.06 21:10:00,LONG,30,3412.86000,BLOCKED:DailyQuota
2025.05.06 21:20:00,LONG,72,3414.85000,BLOCKED:DailyQuota
2025.05.06 21:45:00,LONG,60,3416.33000,BLOCKED:DailyQuota
2025.05.06 22:40:00,LONG,50,3417.41000,BLOCKED:DailyQuota
2025.05.06 22:45:00,LONG,55,3418.68000,BLOCKED:DailyQuota
2025.05.06 22:55:00,LONG,58,3423.27000,BLOCKED:DailyQuota
2025.05.06 23:55:00,LONG,65,3433.86000,BLOCKED:DailyQuota
2025.05.07 06:15:00,LONG,68,3389.01000,OK
2025.05.07 08:10:00,LONG,97,3383.82000,BLOCKED:PositionOpen
2025.05.07 08:25:00,LONG,49,3385.86000,BLOCKED:PositionOpen
2025.05.07 08:40:00,LONG,88,3385.78000,BLOCKED:PositionOpen
2025.05.07 10:15:00,LONG,77,3396.15000,BLOCKED:PositionOpen
2025.05.07 16:10:00,LONG,47,3391.57000,BLOCKED:PositionOpen
2025.05.07 21:05:00,LONG,55,3390.80000,BLOCKED:PositionOpen
2025.05.07 21:10:00,LONG,69,3393.85000,BLOCKED:PositionOpen
2025.05.07 21:15:00,LONG,44,3395.83000,BLOCKED:PositionOpen
2025.05.08 02:40:00,LONG,89,3374.56000,OK
2025.05.08 02:55:00,LONG,42,3375.98000,BLOCKED:PositionOpen
2025.05.08 03:00:00,LONG,44,3376.71000,BLOCKED:PositionOpen
2025.05.08 03:10:00,LONG,49,3375.46000,BLOCKED:PositionOpen
2025.05.08 03:50:00,LONG,69,3385.29000,BLOCKED:PositionOpen
2025.05.08 03:55:00,LONG,28,3385.31000,BLOCKED:PositionOpen
2025.05.08 04:05:00,LONG,47,3394.24000,BLOCKED:DailyQuota
2025.05.08 04:50:00,LONG,72,3397.90000,BLOCKED:DailyQuota
2025.05.08 05:35:00,LONG,63,3410.74000,BLOCKED:DailyQuota
2025.05.08 06:05:00,LONG,43,3401.82000,BLOCKED:DailyQuota
2025.05.08 06:10:00,LONG,67,3404.45000,BLOCKED:DailyQuota
2025.05.08 06:15:00,LONG,60,3404.95000,BLOCKED:DailyQuota
2025.05.08 06:20:00,LONG,65,3407.00000,BLOCKED:DailyQuota
2025.05.08 09:50:00,SHORT,73,3322.28000,BLOCKED:DailyQuota
2025.05.08 16:20:00,LONG,28,3362.55000,BLOCKED:DailyQuota
2025.05.08 16:30:00,LONG,48,3361.64000,BLOCKED:DailyQuota
2025.05.08 16:35:00,LONG,61,3366.59000,BLOCKED:DailyQuota
2025.05.08 16:45:00,LONG,26,3365.49000,BLOCKED:DailyQuota
2025.05.08 19:55:00,SHORT,66,3311.94000,BLOCKED:DailyQuota
2025.05.08 20:00:00,SHORT,77,3310.31000,BLOCKED:DailyQuota
2025.05.08 20:10:00,SHORT,77,3299.61000,BLOCKED:DailyQuota
2025.05.08 20:25:00,SHORT,77,3303.25000,BLOCKED:DailyQuota
2025.05.08 20:45:00,SHORT,62,3303.00000,BLOCKED:DailyQuota
2025.05.08 21:25:00,SHORT,72,3306.90000,BLOCKED:DailyQuota
2025.05.09 08:05:00,LONG,66,3325.35000,OK
2025.05.09 08:10:00,LONG,77,3327.62000,BLOCKED:PositionOpen
